id;start_date;end_date;language
1;2020-10-10T17:12:25;2020-10-10T15:02:40;SPANISH
2;2020-10-09T22:02:36;2020-10-10T17:07:01;SPANISH
3;2020-10-10T12:57:55;2020-10-09T23:32:04;FRENCH
4;2020-10-10T04:15:26;2020-10-10T15:46:52;FRENCH
5;2020-10-10T13:45:44;2020-10-10T18:32:43;FRENCH
6;2020-10-10T07:38:05;2020-10-10T19:46:19;FRENCH
7;2020-10-10T09:23:25;2020-10-10T03:14:16;FRENCH
8;2020-10-10T08:19:38;2020-10-10T18:35:46;SPANISH
9;2020-10-10T07:00:47;2020-10-10T03:42:10;SPANISH
10;2020-10-10T15:12:51;2020-10-10T01:47:21;SPANISH
